#Programa,Categoría funcional,Categoría económica,Fecha,NIF,Nombre empresa,Descripción,Importe
Administración General ,920,22709,2019-01-01,A08663619,"CAIXABANK, S.A.",CAIXA 479 INTERESES-COMISIONES-GASTOS,12.0
"Adm.General Comercio,turismo y PIMES",430,22606,2019-02-13,B80622731,ELIPSE SERVICIOS DE MARKETING SL,Fra. Llaveros polipiel roja marcados 1 color,3133.9
Gestión del Padrón Municipal de Habitantes,923,21300,2019-02-13,A84149566,EIVAR OBRAS E INGENIERIA  S.A.,Fra. SERVICIO DE MANTENIMIENTO PREVENTIVO DE SISTEMAS DE PREVENCION DE INCENDIOS EN EDIF E INSTALACIONES MUNICIPALES,87.9
Administración General ,920,21400,2019-02-13,B86747219,CARROCERIAS LAS MATAS SL,Fra.  2196KFY   Rvision general y puesta a punto de ZOE electrico,193.84
Participación ciudadana,924,22606,2019-02-13,B86392461,INNOVAFEMA SL,Fra. Ludoteca día 12/01/2018 Dos monitores de 10:00 a 14:00,399.3
Administración General ,920,22709,2019-02-14,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-02-14,A48265169,BANCO BILBAO VIZCAYA ARGENTARIA,BBVA INTERESES-COMISIONES-GASTOS,12.87
Administración Gral Seguridad y Protección Civil,130,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",76.56
Administración Gral Seguridad y Protección Civil,130,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 628097814 683584508 Movistar - Tipo de contrato: Contrato Internet Móvil - Nº de líneas: 4 - Lineas Facturadas: 628097814 683584508 - Periodo de Trafico: (18 Nov, a 17 Di",9.68
Administración Gral Seguridad y Protección Civil,130,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 628097814 683584508 Movistar - Tipo de contrato: Contrato Internet Móvil - Nº de líneas: 4 - Lineas Facturadas: 628097814 683584508 - Periodo de Trafico: (18 Dic, 18 a 17",9.68
Administración Gral Seguridad y Protección Civil,130,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",78.98
Protección civil,135,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",39.92
Protección civil,135,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",40.72
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",107.88
Urbanismo:plamen.gest.ejec.y discip.urban.,151,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",114.37
Vías públicas,153,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",82.28
Vías públicas,153,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",82.28
Alumbrado público,165,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,Fra. Movistar - Conectividad gestionada Kite CF: default Periodo: 1 dic 2018 - 31 dic 2018 - Cargos de cliente asociados a servicios básicos,257.58
Asistencia a personas dependientes,234,22103,2019-02-15,A66829045,GAS NATURAL REDES GLP SA,"Fra.  CUPS: ES0237022200008059WS  ANTON, 0040 -  27/11/2018 - 23/01/2019",336.57
Fomento del Empleo,241,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",55.9
Fomento del Empleo,241,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",55.03
Administración general de educación,320,22103,2019-02-15,A66829045,GAS NATURAL REDES GLP SA,"Fra.  CUPS: ES0237022200041726VX / ALPEDRETE, 00SN 4 BJ -   27/11/2018 - 22/01/2019",7.84
Promoción cultural,334,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",24.2
Promoción cultural,334,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",24.2
Instalaciones de ocupación del tiempo libre,337,22103,2019-02-15,A66829045,GAS NATURAL REDES GLP SA,"Fra.  CUPS: ES0237022200078477MF  AVD SALVADOR SANCHEZ FRASCUELO, 0009 CONSERJE  23/11/2018 - 23/01/2019",8.53
Instalaciones de ocupación del tiempo libre,337,22103,2019-02-15,A66829045,GAS NATURAL REDES GLP SA,"Fra.  CUPS: ES0237022200080089YD / AVD SALVADOR SANCHEZ FRASCUELO, 0009 PLAZA - 27/11/2018 -  3/01/2019",26.81
Instalaciones de ocupación del tiempo libre,337,22103,2019-02-15,A66829045,GAS NATURAL REDES GLP SA,"Fra.  CUPS: ES0237022200078043DX / AVD SALVADOR SANCHEZ FRASCUELO, 0009 -  23/11/2018 - 23/01/2019",14.35
Juventud,339,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",48.4
Juventud,339,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",48.4
Administración General de Deportes,340,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",24.2
Administración General de Deportes,340,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",24.2
Órganos de gobierno,912,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",145.78
Órganos de gobierno,912,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 628097814 683584508 Movistar - Tipo de contrato: Contrato Internet Móvil - Nº de líneas: 4 - Lineas Facturadas: 628097814 683584508 - Periodo de Trafico: (18 Nov, a 17 Di",14.52
Órganos de gobierno,912,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 628097814 683584508 Movistar - Tipo de contrato: Contrato Internet Móvil - Nº de líneas: 4 - Lineas Facturadas: 628097814 683584508 - Periodo de Trafico: (18 Dic, 18 a 17",14.52
Órganos de gobierno,912,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",146.65
Administración General ,920,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Nov, a 17 D",195.52
Administración General ,920,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 649731963 Movistar - Tipo de contrato: Contrato Negocios - Nº de líneas: 1 - Lineas Facturadas: 649731963 - Periodo de Trafico: (18 Nov, a 17 Dic, 18) - Periodo de Cuotas",42.05
Administración General ,920,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 628097814 683584508 Movistar - Tipo de contrato: Contrato Internet Móvil - Nº de líneas: 4 - Lineas Facturadas: 628097814 683584508 - Periodo de Trafico: (18 Nov, a 17 Di",64.13
Administración General ,920,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 628097814 683584508 Movistar - Tipo de contrato: Contrato Internet Móvil - Nº de líneas: 4 - Lineas Facturadas: 628097814 683584508 - Periodo de Trafico: (18 Dic, 18 a 17",64.13
Administración General ,920,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 606869277 608923547 Movistar - Tipo de contrato: Contrato Empresas Móvil - Nº de líneas: 30 - Lineas Facturadas: 606869277 608923547 - Periodo de Trafico: (18 Dic, 18 a 1",163.93
Administración General ,920,22200,2019-02-15,A78923125,TELEFONICA SERVICIOS MOVILES SA,"Fra. 649731963 Movistar - Tipo de contrato: Contrato Negocios - Nº de líneas: 1 - Lineas Facturadas: 649731963 - Periodo de Trafico: (18 Dic, 18 a 17 Ene, 19) - Periodo de Cuo",39.97
Administración General ,920,22709,2019-02-15,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración General ,920,22709,2019-02-19,A39000013,BANCO SANTANDER SA,BSCH GASTOS DEVOLUCION RECIBOS,2.42
Administración Gral Seguridad y Protección Civil,130,22000,2019-02-22,B85794105,REPROMORAL SL,"Fra. 1000 Carteles, Prohibido Aparcar Tamaño A3, Papel estucado 300 gr",363.0
Administración Gral Seguridad y Protección Civil,130,22103,2019-02-22,B81752420,CONSTRUCCIONES PLAZA 4 SL,Fra. FACURA POLICIA LOCAL ENERO 219,113.1
Gestión del Padrón Municipal de Habitantes,923,22702,2019-02-22,A79524054,URBASER S A,"Fra. IMPORTE POR LAS ACTUALIZACIONES DE PRECIOS SEGÚN LO PREVISTO EN EL CONTRATO DE EXPLOTACION DEL PUNTO LIMPIO DE MORALZARZAL, DE FECHA 1 DE JULIO DE 2008,     DEL 01/07/200",12146.43
Administración general de educación,320,22110,2019-02-22,B80377971,D.S. LINEA VERDE S.L.,"Fra. ALBARAN:  121,906 DE FECHA: 24,10,18",21.42
Promoción cultural,334,21500,2019-02-22,A28870277,"GESTION DE ESPACIOS CULTURALES Y DE OCIO, S.A.",Fra. CH00_T3531_181120V01 Adquisición para reposición de Telones para Teatro Municipal,3090.82
Promoción cultural,334,22110,2019-02-22,B80377971,D.S. LINEA VERDE S.L.,Fra. CASA CULTURA (BIBLIOTECA),74.49
Promoción cultural,334,22609,2019-02-22,053413397Z,"MIRACLE*RAMOS,MIREIA",Fra Espectaculo Rojo,1272.7
Promoción cultural,334,22609,2019-02-22,070045048C,"JABALERA*UBEDA,SONIA",Fra Actividad en Juventud,363.0
Promoción cultural,334,22609,2019-02-22,B79824207,CASA LADIS SL,Fra. CHURROS PARA ILUMINARIA,240.0
Promoción cultural,334,22706,2019-02-22,B86822707,ESCUELA DUENDE SL,Fra. CLASES DE PILATES Clases de Pilates 119 alumnos x 21¬,2499.0
Promoción cultural,334,22718,2019-02-22,B86410198,"GIGLON,SL",Fra. papel taquilla,76.28
Gestión del Padrón Municipal de Habitantes,923,22609,2019-02-22,G87537106,ABALU ASOCIACION PARA LA AYUDA PSICOLOGICA SOCIAL,Fra. Prog expululsados del 13/11/18 al 20/12/18,871.2
Gestión del Padrón Municipal de Habitantes,923,22609,2019-02-22,P2802300J,"AYUNTAMIENTO DE EL BOLALO, CERCEDA Y MATAELPINO",Fra Albergue Campo Trabajo,3040.0
Gestión del Padrón Municipal de Habitantes,923,22609,2019-02-22,G45810710,ASOCIACION CULTURAL PIES DE GATO,Fra. TALLER DE FORMACION DE CARACTERIZACION HALLOWEEN TALLER DE FORMACIÓN DE CARACTERIZACION HALLOWEEN  ACTIVIDAD EXENTA DE IVA SEGÚN LEY 37/1992 DE 28 DE DICIEMBRE,710.0
Juventud,339,22609,2019-02-22,0.0,0.0,EXPTE 1744/2019 CINE COMO ENTRENAR A TU DRAGÓN - 1828/2019 PAGO JUSTIFICAR,300.0
Administración General de Deportes,340,22300,2019-02-22,A28741262,FRANCISCO LARREA SA,"Fra. Traslados escuelas deportivas Estación Moralzarzal a La Herrería, San Lorenzo del Escorial 25pax, 12/01/19,",478.5
Administración General de Deportes,340,22300,2019-02-22,A28741262,FRANCISCO LARREA SA,"Fra. Traslasdos escuelas deportivas Leonardo Da Vinci  a Polideportivo Colmenarejo,50pax,25/01/19",478.5
Administración General de Deportes,340,22609,2019-02-22,B86986742,"PLAY OUT,S.L.","Fra. Pagos arbitrajes FFM-IVA suplido correspondiente a pagos a la FFM Arbitraje juvenil 71,18¬ x 2 = 142,36 ¬ Arbitraje Cadete 58,98 x 1 = 58,98¬ Arbitraje Infantil 56,98 x 2",315.3
Gestión del Padrón Municipal de Habitantes,923,22609,2019-02-22,V85001394,"CDE DE SALVAMENTO, SOCORRISMO Y BUCEO SIERRA NOROESTE",Fra. FORMACION PRESUPUESTO RELLENO DE BOTELLAS PARA BELEN SUBACUATICO,136.0
Administración General de Deportes,340,22706,2019-02-22,B78864519,"DEPORGEST ,S.L.",Fra. Escuelas de Tenis y Padel Enero 2019,6504.96
Administración General ,920,22000,2019-02-22,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. GRAPADORA PETRUS 635,20.63
Administración General ,920,22000,2019-02-22,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. TONER BROTHER LASER NEGRO ALT-CAPA TN2220,126.95
Administración General ,920,22000,2019-02-22,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. SELLO PRINTY TRODAT 4926,30.86
Administración General ,920,22000,2019-02-22,B84213362,SUMINISTROS INTEGRALES LA ROCHA S.L.,Fra. PAPEL RECICLADO A4 VENUS GREEN 80GR 500H,74.11
Administración General ,920,22110,2019-02-22,B80377971,D.S. LINEA VERDE S.L.,"Fra. ALBARAN: 123,517 DE FECHA: 14,11,18",122.71
Administración General ,920,22199,2019-02-22,B64471840,ELECTROSTOCKS SLU,Fra. KENTAU 20W 840 225MM AC180-250V BLANCO,161.91
Gestión del Padrón Municipal de Habitantes,923,22706,2019-02-22,B64206535,ASPY PREVENCION SLU,Fra. PREVENCION TECNICA  11/12 a 10/01,1497.32
Participación ciudadana,924,22609,2019-02-22,004194958B,"DIAZ*MUÑOZ,OSCAR","Fra. 1/2 KILO EMPANADA DE ATUN Y CEBOLLA CARAMELIZADA, 1KL TORTILLA DE PATATAS A LA ESPAÑOLA 24 UNIDADES MINICROQUETAS DE JAMON IBERICO COCIDO 16 UNIDADES DE MINITARTALETAS RE",120.0
Administración Gral Seguridad y Protección Civil,130,21300,2019-02-25,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Administración Gral Seguridad y Protección Civil,130,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO CITROEN JUMPER FGN 35 L TA MATRICULA: 8334DSL,256.9
Administración Gral Seguridad y Protección Civil,130,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. Fra. SEGURO RENAULT CLIO COMMUNITY 1.5 MATRICULA: 6348DWV,245.44
Administración Gral Seguridad y Protección Civil,130,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO NISSAN QASHQAI 1.6 DCI TE MATRICULA: 1819KFR,475.05
Seguridad y Orden Público,132,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO HONDA CR-V 2.2 I-CTDI ES MATRICULA: 2586HDZ,814.38
Seguridad y Orden Público,132,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO HONDA CR-V 2.2 I-CTDI ES MATRICULA: 2589HDZ,814.38
Seguridad y Orden Público,132,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO YAMAHA XT 660 R MATRICULA: 6794HFB,438.18
Seguridad y Orden Público,132,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO SEAT ALTEA STYLE 1.9 TD MATRICULA: 1843HDY,754.66
Seguridad y Orden Público,132,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO YAMAHA XT 660 R MATRICULA: 6809HFB,438.18
Protección civil,135,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGUROCITROEN JUMPER FGN 35 LH 2 MATRICULA: 2216BTJ,256.9
Protección civil,135,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO MERCEDES SPRINTER 316 CDI C MATRICULA: 1655JNK,1967.24
Protección civil,135,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO HONDA CB 250 M MATRICULA: 7678BBK,147.46
Protección civil,135,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO RENAULT TRAFIC T29 FG L1H2 MATRICULA: 5258HCH,239.55
Protección civil,135,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO TOYOTA HILUX DC 3.0 D4D 4 MATRICULA: 5690FFK,1272.65
Protección civil,135,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURONISSAN NAVARA 4X2 DC SE MATRICULA: 6594FNP,207.53
Protección civil,135,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO VOLKSWAGEN CRAFTER 35 TDI163 MATRICULA: 9537FLP,381.42
Vías públicas,153,21000,2019-02-25,B28600013,DANIEL CARPEDO E HIJOS  S.L.,"Fra. Sal Especial Nieve 25Kg ""Marina"" UNIDAD TRAMITADORA,GE0013849 OFICINA CONTABLE,GE0013862 ORGANO GESTOR: L01280908",2994.1
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO NISSAN ATLEON 160.95 DE 4 MATRICULA: 2132BSL,816.81
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO RENAULT KANGOO EXPRESS RL MATRICULA: M 001480SZ,256.33
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO ARCTIC CAT 500 4X4 MATRICULA: E1 E4448BCP,106.25
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO RENAULT KANGOO COMBI PACK MATRICULA: 8852DZD,256.33
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO MASSEY FERGU MF 860 MATRICULA: E M 027484VE,160.36
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGUROTOYOTA HILUX PICK UP 2.4 MATRICULA: M 007344VZ,232.77
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO RENAULT MASCOTT 150.35 CH- MATRICULA: 8321GFG,256.9
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO RENAULT MASTER CAAB M 3500 MATRICULA: 2494HFX,218.94
Vías públicas,153,22400,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO MITSUBISHI FD 25 MATRICULA: E1 E4906BGH,160.36
Parques y jardines,171,21000,2019-02-25,B87578522,CERCASIERRA SL,"Fra. 12019000001411 Medio Ambiente y Limpieza Adquisición Puertas para circuito canino del parque de  Prado del Aguila,",314.6
Parques y jardines,171,21300,2019-02-25,B83779983,"SERVICIOS INTEGRALES DE LA MADERA EXTERIORES, S.L.","Fra. Factura correspondiente a los trabajos realizados en el servicio mantenimiento de las Áreas Infantiles del Municipio de Moralzarzal durante el mes de Enero,  Expediente 5",1472.17
Parques y jardines,171,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO VESPACAR APE 703 TM MATRICULA: 8462BRZ,147.46
Parques y jardines,171,22401,2019-02-25,A08171373,MGS MUTUA DE SEGUROS Y REASEGUROS SA,Fra. SEGURO   VOLKSWAGEN TRANSPORTER KB L 2 MATRICULA: 4422JPP,256.69
Parques y jardines,171,22718,2019-02-25,B81563207,ANDRIALA SL.,"Fra. Servios de Mantenimiento  de determinadas Zonas Verdes de Moralzarzal, 6974/2017, Durante el mes de Enero de 2019,      Servios de Mantenimiento  de determinadas Zonas Ve",7713.75
Parques y jardines,171,22718,2019-02-25,B82704115,MORAJARDIN SL,"Fra. Mantenimiento y poda de varias zonas verdes, del Lote I y Lote III (desde rotonda gasolinera a cruce Gamonal)",15024.0
Parques y jardines,171,22719,2019-02-25,048929407N,"SANCHEZ*OCAÑA,FERNANDO",Fra. Prestación de servicios correspondiente al mes de enero 2019,556.6
Parques y jardines,171,22719,2019-02-25,048929407N,"SANCHEZ*OCAÑA,FERNANDO",Fra. Prestación de servicios correspondiente al mes de enero 2019,403.33
Promoción cultural,334,21300,2019-02-25,B82080177,RICOH    ESPAÑA SLU,"Fra. Facturación de Alquiler, Ref,:5996/2016, Contrato:74037175, Modelo:MP3554SP, Num, Serie:G166P700066, Ubicación:AYUNTAMIENTO DE MORALZARZAL, CL RASO 11 , 28411 MORALZARZAL",81.07
Promoción cultural,334,22609,2019-02-25,B80377971,D.S. LINEA VERDE S.L.,Fra. Suministro de material de limpieza  CENTRO CULTURAL,45.98
Promoción cultural,334,22706,2019-02-25,G85970846,ASOCIACION ENTRE COMILLAS,"Fra. Clases de teatro durante el mes de febrero, Con un total de  44 Alumnos a 20¬ por alumno",880.0
Promoción cultural,334,22706,2019-02-25,B86822707,ESCUELA DUENDE SL,Fra. CLASES DE DANZA Clases de Baile  375 alumnos x 21 Clases de examen 25 alumnos x 14,8225.0
